date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-02-24,Johor,0,0,0,0,0,0
2021-02-25,Johor,79,0,79,79,0,79
2021-02-26,Johor,0,0,0,79,0,79
2021-02-27,Johor,2,0,2,81,0,81
2021-02-28,Johor,826,0,826,907,0,907
2021-03-01,Johor,2150,0,2150,3057,0,3057
2021-03-02,Johor,1482,0,1482,4539,0,4539
2021-03-03,Johor,2066,1,2067,6605,1,6606
2021-03-04,Johor,1963,3,1966,8568,4,8572
2021-03-05,Johor,332,0,332,8900,4,8904
2021-03-06,Johor,716,0,716,9616,4,9620
2021-03-07,Johor,1205,1,1206,10821,5,10826
2021-03-08,Johor,3028,0,3028,13849,5,13854
2021-03-09,Johor,2098,0,2098,15947,5,15952
2021-03-10,Johor,1634,0,1634,17581,5,17586
2021-03-11,Johor,2098,0,2098,19679,5,19684
2021-03-12,Johor,720,0,720,20399,5,20404
2021-03-13,Johor,1569,0,1569,21968,5,21973
2021-03-14,Johor,1136,0,1136,23104,5,23109
2021-03-15,Johor,1791,0,1791,24895,5,24900
2021-03-16,Johor,1436,1,1437,26331,6,26337
2021-03-17,Johor,856,35,891,27187,41,27228
2021-03-18,Johor,1387,42,1429,28574,83,28657
2021-03-19,Johor,18,0,18,28592,83,28675
2021-03-20,Johor,728,0,728,29320,83,29403
2021-03-21,Johor,663,736,1399,29983,819,30802
2021-03-22,Johor,966,1801,2767,30949,2620,33569
2021-03-23,Johor,585,662,1247,31534,3282,34816
2021-03-24,Johor,676,2397,3073,32210,5679,37889
2021-03-25,Johor,935,2292,3227,33145,7971,41116
2021-03-26,Johor,524,400,924,33669,8371,42040
2021-03-27,Johor,482,669,1151,34151,9040,43191
2021-03-28,Johor,1361,1129,2490,35512,10169,45681
2021-03-29,Johor,887,2492,3379,36399,12661,49060
2021-03-30,Johor,601,2375,2976,37000,15036,52036
2021-03-31,Johor,502,1461,1963,37502,16497,53999
2021-04-01,Johor,2129,2198,4327,39631,18695,58326
2021-04-02,Johor,464,727,1191,40095,19422,59517
2021-04-03,Johor,139,1551,1690,40234,20973,61207
2021-04-04,Johor,1995,1164,3159,42229,22137,64366
2021-04-05,Johor,1703,1504,3207,43932,23641,67573
2021-04-06,Johor,1365,1512,2877,45297,25153,70450
2021-04-07,Johor,1966,1016,2982,47263,26169,73432
2021-04-08,Johor,2151,1152,3303,49414,27321,76735
2021-04-09,Johor,0,0,0,49414,27321,76735
2021-04-10,Johor,269,359,628,49683,27680,77363
2021-04-11,Johor,2529,127,2656,52212,27807,80019
2021-04-12,Johor,4465,531,4996,56677,28338,85015
2021-04-13,Johor,3,42,45,56680,28380,85060
2021-04-14,Johor,2594,1227,3821,59274,29607,88881
2021-04-15,Johor,3453,1174,4627,62727,30781,93508
2021-04-16,Johor,0,48,48,62727,30829,93556
2021-04-17,Johor,1864,4,1868,64591,30833,95424
2021-04-18,Johor,2318,1272,3590,66909,32105,99014
2021-04-19,Johor,3522,1310,4832,70431,33415,103846
2021-04-20,Johor,878,793,1671,71309,34208,105517
2021-04-21,Johor,35,1038,1073,71344,35246,106590
2021-04-22,Johor,265,1720,1985,71609,36966,108575
2021-04-23,Johor,0,329,329,71609,37295,108904
2021-04-24,Johor,127,117,244,71736,37412,109148
2021-04-25,Johor,731,2362,3093,72467,39774,112241
2021-04-26,Johor,1667,2177,3844,74134,41951,116085
2021-04-27,Johor,1197,1741,2938,75331,43692,119023
2021-04-28,Johor,1273,2084,3357,76604,45776,122380
2021-04-29,Johor,2105,1537,3642,78709,47313,126022
2021-04-30,Johor,2,302,304,78711,47615,126326
2021-05-01,Johor,5,0,5,78716,47615,126331
2021-05-02,Johor,3717,2321,6038,82433,49936,132369
