,date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
1,2021-02-24,Kedah,0,0,0,0,0,0
17,2021-02-25,Kedah,0,0,0,0,0,0
33,2021-02-26,Kedah,6,0,6,6,0,6
49,2021-02-27,Kedah,37,0,37,43,0,43
65,2021-02-28,Kedah,784,0,784,827,0,827
81,2021-03-01,Kedah,1062,0,1062,1889,0,1889
97,2021-03-02,Kedah,1184,1,1185,3073,1,3074
113,2021-03-03,Kedah,1400,0,1400,4473,1,4474
129,2021-03-04,Kedah,724,0,724,5197,1,5198
145,2021-03-05,Kedah,137,0,137,5334,1,5335
161,2021-03-06,Kedah,108,0,108,5442,1,5443
177,2021-03-07,Kedah,855,1,856,6297,2,6299
193,2021-03-08,Kedah,3109,0,3109,9406,2,9408
209,2021-03-09,Kedah,2296,1,2297,11702,3,11705
225,2021-03-10,Kedah,2580,0,2580,14282,3,14285
241,2021-03-11,Kedah,1643,0,1643,15925,3,15928
257,2021-03-12,Kedah,712,0,712,16637,3,16640
273,2021-03-13,Kedah,568,0,568,17205,3,17208
289,2021-03-14,Kedah,1427,0,1427,18632,3,18635
305,2021-03-15,Kedah,2630,0,2630,21262,3,21265
321,2021-03-16,Kedah,2671,0,2671,23933,3,23936
337,2021-03-17,Kedah,1624,0,1624,25557,3,25560
353,2021-03-18,Kedah,456,0,456,26013,3,26016
369,2021-03-19,Kedah,307,6,313,26320,9,26329
385,2021-03-20,Kedah,6,0,6,26326,9,26335
401,2021-03-21,Kedah,6,713,719,26332,722,27054
417,2021-03-22,Kedah,16,1177,1193,26348,1899,28247
433,2021-03-23,Kedah,6,1242,1248,26354,3141,29495
449,2021-03-24,Kedah,17,1332,1349,26371,4473,30844
465,2021-03-25,Kedah,6,543,549,26377,5016,31393
481,2021-03-26,Kedah,1,155,156,26378,5171,31549
497,2021-03-27,Kedah,0,97,97,26378,5268,31646
513,2021-03-28,Kedah,45,831,876,26423,6099,32522
529,2021-03-29,Kedah,837,2727,3564,27260,8826,36086
545,2021-03-30,Kedah,951,2314,3265,28211,11140,39351
561,2021-03-31,Kedah,879,2511,3390,29090,13651,42741
577,2021-04-01,Kedah,1227,1650,2877,30317,15301,45618
593,2021-04-02,Kedah,220,398,618,30537,15699,46236
