date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-02-24,Negeri Sembilan,0,0,0,0,0,0
2021-02-25,Negeri Sembilan,0,0,0,0,0,0
2021-02-26,Negeri Sembilan,0,0,0,0,0,0
2021-02-27,Negeri Sembilan,0,0,0,0,0,0
2021-02-28,Negeri Sembilan,0,0,0,0,0,0
2021-03-01,Negeri Sembilan,586,0,586,586,0,586
2021-03-02,Negeri Sembilan,1325,0,1325,1911,0,1911
2021-03-03,Negeri Sembilan,1205,0,1205,3116,0,3116
2021-03-04,Negeri Sembilan,1232,0,1232,4348,0,4348
2021-03-05,Negeri Sembilan,535,0,535,4883,0,4883
2021-03-06,Negeri Sembilan,0,0,0,4883,0,4883
2021-03-07,Negeri Sembilan,0,0,0,4883,0,4883
2021-03-08,Negeri Sembilan,1118,0,1118,6001,0,6001
2021-03-09,Negeri Sembilan,2409,0,2409,8410,0,8410
2021-03-10,Negeri Sembilan,2357,0,2357,10767,0,10767
2021-03-11,Negeri Sembilan,60,0,60,10827,0,10827
2021-03-12,Negeri Sembilan,1402,0,1402,12229,0,12229
2021-03-13,Negeri Sembilan,12,0,12,12241,0,12241
2021-03-14,Negeri Sembilan,0,0,0,12241,0,12241
2021-03-15,Negeri Sembilan,698,0,698,12939,0,12939
2021-03-16,Negeri Sembilan,1626,1,1627,14565,1,14566
2021-03-17,Negeri Sembilan,1470,0,1470,16035,1,16036
2021-03-18,Negeri Sembilan,1050,0,1050,17085,1,17086
2021-03-19,Negeri Sembilan,275,0,275,17360,1,17361
2021-03-20,Negeri Sembilan,0,0,0,17360,1,17361
2021-03-21,Negeri Sembilan,0,0,0,17360,1,17361
2021-03-22,Negeri Sembilan,604,530,1134,17964,531,18495
2021-03-23,Negeri Sembilan,1753,1277,3030,19717,1808,21525
2021-03-24,Negeri Sembilan,1375,1143,2518,21092,2951,24043
2021-03-25,Negeri Sembilan,817,1198,2015,21909,4149,26058
2021-03-26,Negeri Sembilan,398,663,1061,22307,4812,27119
2021-03-27,Negeri Sembilan,0,0,0,22307,4812,27119
2021-03-28,Negeri Sembilan,0,0,0,22307,4812,27119
2021-03-29,Negeri Sembilan,157,1095,1252,22464,5907,28371
2021-03-30,Negeri Sembilan,487,2336,2823,22951,8243,31194
2021-03-31,Negeri Sembilan,389,2307,2696,23340,10550,33890
2021-04-01,Negeri Sembilan,1366,81,1447,24706,10631,35337
2021-04-02,Negeri Sembilan,176,1409,1585,24882,12040,36922
2021-04-03,Negeri Sembilan,7,12,19,24889,12052,36941
2021-04-04,Negeri Sembilan,0,0,0,24889,12052,36941
2021-04-05,Negeri Sembilan,374,891,1265,25263,12943,38206
2021-04-06,Negeri Sembilan,1593,1129,2722,26856,14072,40928
2021-04-07,Negeri Sembilan,1147,1516,2663,28003,15588,43591
2021-04-08,Negeri Sembilan,1275,1286,2561,29278,16874,46152
2021-04-09,Negeri Sembilan,504,310,814,29782,17184,46966
