date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-02-24,Pahang,0,0,0,0,0,0
2021-02-25,Pahang,122,0,122,122,0,122
2021-02-26,Pahang,769,0,769,891,0,891
2021-02-27,Pahang,1766,0,1766,2657,0,2657
2021-02-28,Pahang,99,0,99,2756,0,2756
2021-03-01,Pahang,1210,1,1211,3966,1,3967
2021-03-02,Pahang,2106,0,2106,6072,1,6073
2021-03-03,Pahang,1313,0,1313,7385,1,7386
2021-03-04,Pahang,1128,1,1129,8513,2,8515
2021-03-05,Pahang,2054,0,2054,10567,2,10569
2021-03-06,Pahang,3244,0,3244,13811,2,13813
2021-03-07,Pahang,656,0,656,14467,2,14469
2021-03-08,Pahang,1051,0,1051,15518,2,15520
2021-03-09,Pahang,931,0,931,16449,2,16451
2021-03-10,Pahang,1093,0,1093,17542,2,17544
2021-03-11,Pahang,1881,0,1881,19423,2,19425
2021-03-12,Pahang,2535,0,2535,21958,2,21960
2021-03-13,Pahang,3296,0,3296,25254,2,25256
2021-03-14,Pahang,197,0,197,25451,2,25453
2021-03-15,Pahang,200,0,200,25651,2,25653
2021-03-16,Pahang,408,0,408,26059,2,26061
2021-03-17,Pahang,643,0,643,26702,2,26704
2021-03-18,Pahang,910,119,1029,27612,121,27733
2021-03-19,Pahang,1502,663,2165,29114,784,29898
2021-03-20,Pahang,1344,1769,3113,30458,2553,33011
2021-03-21,Pahang,2908,95,3003,33366,2648,36014
2021-03-22,Pahang,31,1033,1064,33397,3681,37078
2021-03-23,Pahang,60,2176,2236,33457,5857,39314
2021-03-24,Pahang,7,1369,1376,33464,7226,40690
2021-03-25,Pahang,79,1477,1556,33543,8703,42246
2021-03-26,Pahang,64,935,999,33607,9638,43245
2021-03-27,Pahang,16,3075,3091,33623,12713,46336
2021-03-28,Pahang,7,795,802,33630,13508,47138
2021-03-29,Pahang,5,1136,1141,33635,14644,48279
2021-03-30,Pahang,2,1045,1047,33637,15689,49326
2021-03-31,Pahang,15,923,938,33652,16612,50264
2021-04-01,Pahang,105,1957,2062,33757,18569,52326
2021-04-02,Pahang,415,2140,2555,34172,20709,54881
2021-04-03,Pahang,0,2857,2857,34172,23566,57738
2021-04-04,Pahang,649,203,852,34821,23769,58590
2021-04-05,Pahang,78,669,747,34899,24438,59337
2021-04-06,Pahang,6,659,665,34905,25097,60002
2021-04-07,Pahang,332,644,976,35237,25741,60978
2021-04-08,Pahang,295,572,867,35532,26313,61845
2021-04-09,Pahang,580,1870,2450,36112,28183,64295
2021-04-10,Pahang,1780,1414,3194,37892,29597,67489
2021-04-11,Pahang,801,2909,3710,38693,32506,71199
2021-04-12,Pahang,1654,259,1913,40347,32765,73112
2021-04-13,Pahang,626,151,777,40973,32916,73889
2021-04-14,Pahang,413,13,426,41386,32929,74315
