date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-02-24,Perlis,0,0,0,0,0,0
2021-02-25,Perlis,0,0,0,0,0,0
2021-02-26,Perlis,165,0,165,165,0,165
2021-02-27,Perlis,3,0,3,168,0,168
2021-02-28,Perlis,0,0,0,168,0,168
2021-03-01,Perlis,356,0,356,524,0,524
2021-03-02,Perlis,537,0,537,1061,0,1061
2021-03-03,Perlis,541,0,541,1602,0,1602
2021-03-04,Perlis,299,0,299,1901,0,1901
2021-03-05,Perlis,330,0,330,2231,0,2231
2021-03-06,Perlis,0,0,0,2231,0,2231
2021-03-07,Perlis,0,0,0,2231,0,2231
2021-03-08,Perlis,839,1,840,3070,1,3071
2021-03-09,Perlis,1096,0,1096,4166,1,4167
2021-03-10,Perlis,1085,0,1085,5251,1,5252
2021-03-11,Perlis,764,0,764,6015,1,6016
2021-03-12,Perlis,585,0,585,6600,1,6601
2021-03-13,Perlis,216,0,216,6816,1,6817
2021-03-14,Perlis,0,0,0,6816,1,6817
2021-03-15,Perlis,469,0,469,7285,1,7286
2021-03-16,Perlis,798,0,798,8083,1,8084
2021-03-17,Perlis,796,0,796,8879,1,8880
2021-03-18,Perlis,725,1,726,9604,2,9606
2021-03-19,Perlis,7,153,160,9611,155,9766
2021-03-20,Perlis,0,2,2,9611,157,9768
2021-03-21,Perlis,0,0,0,9611,157,9768
2021-03-22,Perlis,0,352,352,9611,509,10120
2021-03-23,Perlis,0,533,533,9611,1042,10653
2021-03-24,Perlis,4,526,530,9615,1568,11183
2021-03-25,Perlis,3,292,295,9618,1860,11478
2021-03-26,Perlis,0,311,311,9618,2171,11789
2021-03-27,Perlis,0,0,0,9618,2171,11789
2021-03-28,Perlis,0,0,0,9618,2171,11789
2021-03-29,Perlis,3,810,813,9621,2981,12602
2021-03-30,Perlis,11,1057,1068,9632,4038,13670
2021-03-31,Perlis,248,429,677,9880,4467,14347
2021-04-01,Perlis,6,1145,1151,9886,5612,15498
2021-04-02,Perlis,9,845,854,9895,6457,16352
2021-04-03,Perlis,3,213,216,9898,6670,16568
2021-04-04,Perlis,0,0,0,9898,6670,16568
2021-04-05,Perlis,5,152,157,9903,6822,16725
2021-04-06,Perlis,138,34,172,10041,6856,16897
2021-04-07,Perlis,0,30,30,10041,6886,16927
2021-04-08,Perlis,0,36,36,10041,6922,16963
2021-04-09,Perlis,15,1106,1121,10056,8028,18084
2021-04-10,Perlis,1,281,282,10057,8309,18366
2021-04-11,Perlis,0,0,0,10057,8309,18366
2021-04-12,Perlis,7,1158,1165,10064,9467,19531
2021-04-13,Perlis,706,1,707,10770,9468,20238
