,date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
8,2021-02-24,Pulau Pinang,0,0,0,0,0,0
24,2021-02-25,Pulau Pinang,0,0,0,0,0,0
40,2021-02-26,Pulau Pinang,322,0,322,322,0,322
56,2021-02-27,Pulau Pinang,5,0,5,327,0,327
72,2021-02-28,Pulau Pinang,12,0,12,339,0,339
88,2021-03-01,Pulau Pinang,448,1,449,787,1,788
104,2021-03-02,Pulau Pinang,1037,0,1037,1824,1,1825
120,2021-03-03,Pulau Pinang,1097,0,1097,2921,1,2922
136,2021-03-04,Pulau Pinang,1122,0,1122,4043,1,4044
152,2021-03-05,Pulau Pinang,1024,0,1024,5067,1,5068
168,2021-03-06,Pulau Pinang,120,0,120,5187,1,5188
184,2021-03-07,Pulau Pinang,120,0,120,5307,1,5308
200,2021-03-08,Pulau Pinang,1199,0,1199,6506,1,6507
216,2021-03-09,Pulau Pinang,1296,0,1296,7802,1,7803
232,2021-03-10,Pulau Pinang,2030,0,2030,9832,1,9833
248,2021-03-11,Pulau Pinang,2800,0,2800,12632,1,12633
264,2021-03-12,Pulau Pinang,2852,0,2852,15484,1,15485
280,2021-03-13,Pulau Pinang,796,0,796,16280,1,16281
296,2021-03-14,Pulau Pinang,504,0,504,16784,1,16785
312,2021-03-15,Pulau Pinang,1773,0,1773,18557,1,18558
328,2021-03-16,Pulau Pinang,2031,0,2031,20588,1,20589
344,2021-03-17,Pulau Pinang,1729,0,1729,22317,1,22318
360,2021-03-18,Pulau Pinang,1452,0,1452,23769,1,23770
376,2021-03-19,Pulau Pinang,1511,330,1841,25280,331,25611
392,2021-03-20,Pulau Pinang,1883,0,1883,27163,331,27494
408,2021-03-21,Pulau Pinang,1437,0,1437,28600,331,28931
424,2021-03-22,Pulau Pinang,1254,394,1648,29854,725,30579
440,2021-03-23,Pulau Pinang,827,1000,1827,30681,1725,32406
456,2021-03-24,Pulau Pinang,793,1041,1834,31474,2766,34240
472,2021-03-25,Pulau Pinang,551,1101,1652,32025,3867,35892
488,2021-03-26,Pulau Pinang,70,993,1063,32095,4860,36955
504,2021-03-27,Pulau Pinang,0,119,119,32095,4979,37074
520,2021-03-28,Pulau Pinang,0,113,113,32095,5092,37187
536,2021-03-29,Pulau Pinang,43,1105,1148,32138,6197,38335
552,2021-03-30,Pulau Pinang,96,1321,1417,32234,7518,39752
568,2021-03-31,Pulau Pinang,210,1823,2033,32444,9341,41785
584,2021-04-01,Pulau Pinang,620,2235,2855,33064,11576,44640
600,2021-04-02,Pulau Pinang,517,2629,3146,33581,14205,47786
616,2021-04-03,Pulau Pinang,52,755,807,33633,14960,48593
632,2021-04-04,Pulau Pinang,74,485,559,33707,15445,49152
648,2021-04-05,Pulau Pinang,276,2053,2329,33983,17498,51481
664,2021-04-06,Pulau Pinang,132,2249,2381,34115,19747,53862
680,2021-04-07,Pulau Pinang,121,1934,2055,34236,21681,55917
696,2021-04-08,Pulau Pinang,867,1470,2337,35103,23151,58254
712,2021-04-09,Pulau Pinang,644,1734,2378,35747,24885,60632
728,2021-04-10,Pulau Pinang,506,1847,2353,36253,26732,62985
744,2021-04-11,Pulau Pinang,380,1433,1813,36633,28165,64798
760,2021-04-12,Pulau Pinang,373,1192,1565,37006,29357,66363
776,2021-04-13,Pulau Pinang,766,887,1653,37772,30244,68016
792,2021-04-14,Pulau Pinang,957,771,1728,38729,31015,69744
808,2021-04-15,Pulau Pinang,996,543,1539,39725,31558,71283
824,2021-04-16,Pulau Pinang,826,50,876,40551,31608,72159
840,2021-04-17,Pulau Pinang,279,8,287,40830,31616,72446
856,2021-04-18,Pulau Pinang,243,0,243,41073,31616,72689
872,2021-04-19,Pulau Pinang,2101,74,2175,43174,31690,74864
888,2021-04-20,Pulau Pinang,2426,93,2519,45600,31783,77383
904,2021-04-21,Pulau Pinang,2521,217,2738,48121,32000,80121
920,2021-04-22,Pulau Pinang,1929,594,2523,50050,32594,82644
936,2021-04-23,Pulau Pinang,1895,485,2380,51945,33079,85024
952,2021-04-24,Pulau Pinang,152,47,199,52097,33126,85223
968,2021-04-25,Pulau Pinang,0,64,64,52097,33190,85287
984,2021-04-26,Pulau Pinang,2370,257,2627,54467,33447,87914
1000,2021-04-27,Pulau Pinang,2442,159,2601,56909,33606,90515
1016,2021-04-28,Pulau Pinang,3724,139,3863,60633,33745,94378
1032,2021-04-29,Pulau Pinang,0,54,54,60633,33799,94432
1048,2021-04-30,Pulau Pinang,3043,318,3361,63676,34117,97793
1064,2021-05-01,Pulau Pinang,3,66,69,63679,34183,97862
1080,2021-05-02,Pulau Pinang,9,369,378,63688,34552,98240
1096,2021-05-03,Pulau Pinang,1851,983,2834,65539,35535,101074
