date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-02-24,Sarawak,1,0,1,1,0,1
2021-02-25,Sarawak,2,0,2,3,0,3
2021-02-26,Sarawak,1335,0,1335,1338,0,1338
2021-02-27,Sarawak,3623,0,3623,4961,0,4961
2021-02-28,Sarawak,3148,3,3151,8109,3,8112
2021-03-01,Sarawak,1722,0,1722,9831,3,9834
2021-03-02,Sarawak,629,1,630,10460,4,10464
2021-03-03,Sarawak,487,0,487,10947,4,10951
2021-03-04,Sarawak,442,0,442,11389,4,11393
2021-03-05,Sarawak,1145,2,1147,12534,6,12540
2021-03-06,Sarawak,3185,1,3186,15719,7,15726
2021-03-07,Sarawak,4137,0,4137,19856,7,19863
2021-03-08,Sarawak,3132,1,3133,22988,8,22996
2021-03-09,Sarawak,2106,1,2107,25094,9,25103
2021-03-10,Sarawak,682,0,682,25776,9,25785
2021-03-11,Sarawak,18,0,18,25794,9,25803
2021-03-12,Sarawak,892,1,893,26686,10,26696
2021-03-13,Sarawak,1723,0,1723,28409,10,28419
2021-03-14,Sarawak,1064,0,1064,29473,10,29483
2021-03-15,Sarawak,501,0,501,29974,10,29984
2021-03-16,Sarawak,408,0,408,30382,10,30392
2021-03-17,Sarawak,174,0,174,30556,10,30566
2021-03-18,Sarawak,97,0,97,30653,10,30663
2021-03-19,Sarawak,147,1487,1634,30800,1497,32297
2021-03-20,Sarawak,881,3365,4246,31681,4862,36543
2021-03-21,Sarawak,1484,2887,4371,33165,7749,40914
2021-03-22,Sarawak,641,1804,2445,33806,9553,43359
2021-03-23,Sarawak,191,629,820,33997,10182,44179
2021-03-24,Sarawak,141,477,618,34138,10659,44797
2021-03-25,Sarawak,141,374,515,34279,11033,45312
2021-03-26,Sarawak,69,1108,1177,34348,12141,46489
2021-03-27,Sarawak,577,3063,3640,34925,15204,50129
2021-03-28,Sarawak,960,4077,5037,35885,19281,55166
2021-03-29,Sarawak,1093,3146,4239,36978,22427,59405
2021-03-30,Sarawak,2963,2106,5069,39941,24533,64474
2021-03-31,Sarawak,3884,701,4585,43825,25234,69059
2021-04-01,Sarawak,4216,51,4267,48041,25285,73326
2021-04-02,Sarawak,2403,329,2732,50444,25614,76058
2021-04-03,Sarawak,1675,983,2658,52119,26597,78716
2021-04-04,Sarawak,1440,681,2121,53559,27278,80837
2021-04-05,Sarawak,746,364,1110,54305,27642,81947
2021-04-06,Sarawak,693,826,1519,54998,28468,83466
2021-04-07,Sarawak,1550,860,2410,56548,29328,85876
2021-04-08,Sarawak,879,542,1421,57427,29870,87297
2021-04-09,Sarawak,216,141,357,57643,30011,87654
2021-04-10,Sarawak,1849,624,2473,59492,30635,90127
2021-04-11,Sarawak,2359,1413,3772,61851,32048,93899
2021-04-12,Sarawak,1649,539,2188,63500,32587,96087
2021-04-13,Sarawak,1866,67,1933,65366,32654,98020
2021-04-14,Sarawak,1720,71,1791,67086,32725,99811
2021-04-15,Sarawak,127,133,260,67213,32858,100071
2021-04-16,Sarawak,197,430,627,67410,33288,100698
2021-04-17,Sarawak,984,460,1444,68394,33748,102142
2021-04-18,Sarawak,915,836,1751,69309,34584,103893
2021-04-19,Sarawak,1069,1065,2134,70378,35649,106027
2021-04-20,Sarawak,295,3211,3506,70673,38860,109533
2021-04-21,Sarawak,249,3469,3718,70922,42329,113251
2021-04-22,Sarawak,961,2917,3878,71883,45246,117129
2021-04-23,Sarawak,2728,1792,4520,74611,47038,121649
2021-04-24,Sarawak,4782,2004,6786,79393,49042,128435
2021-04-25,Sarawak,4652,1483,6135,84045,50525,134570
2021-04-26,Sarawak,3247,833,4080,87292,51358,138650
2021-04-27,Sarawak,1646,856,2502,88938,52214,141152
2021-04-28,Sarawak,440,1638,2078,89378,53852,143230
2021-04-29,Sarawak,319,882,1201,89697,54734,144431
2021-04-30,Sarawak,1750,234,1984,91447,54968,146415
2021-05-01,Sarawak,1302,1438,2740,92749,56406,149155
2021-05-02,Sarawak,1061,2433,3494,93810,58839,152649
2021-05-03,Sarawak,804,1749,2553,94614,60588,155202
2021-05-04,Sarawak,331,1778,2109,94945,62366,157311
2021-05-05,Sarawak,378,1332,1710,95323,63698,159021
2021-05-06,Sarawak,162,412,574,95485,64110,159595
2021-05-07,Sarawak,7237,524,7761,102722,64634,167356
2021-05-08,Sarawak,6841,1082,7923,109563,65716,175279
2021-05-09,Sarawak,6381,884,7265,115944,66600,182544
2021-05-10,Sarawak,4650,1058,5708,120594,67658,188252
2021-05-11,Sarawak,2888,288,3176,123482,67946,191428
2021-05-12,Sarawak,368,1,369,123850,67947,191797
2021-05-13,Sarawak,71,0,71,123921,67947,191868
2021-05-14,Sarawak,7,0,7,123928,67947,191875
2021-05-15,Sarawak,3,0,3,123931,67947,191878
2021-05-16,Sarawak,0,0,0,123931,67947,191878
2021-05-17,Sarawak,252,2616,2868,124183,70563,194746
2021-05-18,Sarawak,5679,4281,9960,129862,74844,204706
2021-05-19,Sarawak,4016,5791,9807,133878,80635,214513
2021-05-20,Sarawak,2257,4691,6948,136135,85326,221461
2021-05-21,Sarawak,3007,2338,5345,139142,87664,226806
2021-05-22,Sarawak,8426,882,9308,147568,88546,236114
2021-05-23,Sarawak,7370,789,8159,154938,89335,244273
2021-05-24,Sarawak,10892,926,11818,165830,90261,256091
2021-05-25,Sarawak,8514,594,9108,174344,90855,265199
2021-05-26,Sarawak,675,129,804,175019,90984,266003
2021-05-27,Sarawak,3578,406,3984,178597,91390,269987
2021-05-28,Sarawak,1763,3654,5417,180360,95044,275404
2021-05-29,Sarawak,7966,6336,14302,188326,101380,289706
2021-05-30,Sarawak,4592,8554,13146,192918,109934,302852
2021-05-31,Sarawak,1751,1103,2854,194669,111037,305706
2021-06-01,Sarawak,267,139,406,194936,111176,306112
2021-06-02,Sarawak,397,146,543,195333,111322,306655
2021-06-03,Sarawak,6464,5077,11541,201797,116399,318196
2021-06-04,Sarawak,7681,2864,10545,209478,119263,328741
2021-06-05,Sarawak,10379,43,10422,219857,119306,339163
2021-06-06,Sarawak,14488,115,14603,234345,119421,353766
2021-06-07,Sarawak,14743,38,14781,249088,119459,368547
2021-06-08,Sarawak,6956,5361,12317,256044,124820,380864
2021-06-09,Sarawak,5181,3828,9009,261225,128648,389873
2021-06-10,Sarawak,6023,1993,8016,267248,130641,397889
2021-06-11,Sarawak,8918,2875,11793,276166,133516,409682
2021-06-12,Sarawak,23923,8456,32379,300089,141972,442061
2021-06-13,Sarawak,24824,7255,32079,324913,149227,474140
2021-06-14,Sarawak,30763,10693,41456,355676,159920,515596
2021-06-15,Sarawak,34605,8551,43156,390281,168471,558752
2021-06-16,Sarawak,48340,701,49041,438621,169172,607793
2021-06-17,Sarawak,46248,3472,49720,484869,172644,657513
2021-06-18,Sarawak,46613,1901,48514,531482,174545,706027
2021-06-19,Sarawak,39512,7145,46657,570994,181690,752684
2021-06-20,Sarawak,39491,4318,43809,610485,186008,796493
2021-06-21,Sarawak,56975,2281,59256,667460,188289,855749
2021-06-22,Sarawak,54193,563,54756,721653,188852,910505
2021-06-23,Sarawak,54253,428,54681,775906,189280,965186
2021-06-24,Sarawak,54850,6327,61177,830756,195607,1026363
2021-06-25,Sarawak,47870,7134,55004,878626,202741,1081367
2021-06-26,Sarawak,41364,10237,51601,919990,212978,1132968
2021-06-27,Sarawak,33992,14314,48306,953982,227292,1181274
2021-06-28,Sarawak,38061,12940,51001,992043,240232,1232275
2021-06-29,Sarawak,38145,6027,44172,1030188,246259,1276447
2021-06-30,Sarawak,40539,3752,44291,1070727,250011,1320738
2021-07-01,Sarawak,46000,2485,48485,1116727,252496,1369223
