date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-02-24,Selangor,0,0,0,0,0,0
2021-02-25,Selangor,43,0,43,43,0,43
2021-02-26,Selangor,281,0,281,324,0,324
2021-02-27,Selangor,80,0,80,404,0,404
2021-02-28,Selangor,65,0,65,469,0,469
2021-03-01,Selangor,608,1,609,1077,1,1078
2021-03-02,Selangor,1221,0,1221,2298,1,2299
2021-03-03,Selangor,2125,0,2125,4423,1,4424
2021-03-04,Selangor,2265,0,2265,6688,1,6689
2021-03-05,Selangor,2467,0,2467,9155,1,9156
2021-03-06,Selangor,3084,0,3084,12239,1,12240
2021-03-07,Selangor,354,0,354,12593,1,12594
2021-03-08,Selangor,3077,0,3077,15670,1,15671
2021-03-09,Selangor,3961,0,3961,19631,1,19632
2021-03-10,Selangor,4938,0,4938,24569,1,24570
2021-03-11,Selangor,5018,0,5018,29587,1,29588
2021-03-12,Selangor,3963,0,3963,33550,1,33551
2021-03-13,Selangor,2462,0,2462,36012,1,36013
2021-03-14,Selangor,546,0,546,36558,1,36559
2021-03-15,Selangor,2520,0,2520,39078,1,39079
2021-03-16,Selangor,3314,0,3314,42392,1,42393
2021-03-17,Selangor,3994,0,3994,46386,1,46387
2021-03-18,Selangor,3686,41,3727,50072,42,50114
2021-03-19,Selangor,2893,327,3220,52965,369,53334
2021-03-20,Selangor,560,0,560,53525,369,53894
2021-03-21,Selangor,595,0,595,54120,369,54489
2021-03-22,Selangor,2197,646,2843,56317,1015,57332
2021-03-23,Selangor,2788,1154,3942,59105,2169,61274
2021-03-24,Selangor,1967,2057,4024,61072,4226,65298
2021-03-25,Selangor,1893,2136,4029,62965,6362,69327
2021-03-26,Selangor,1243,2424,3667,64208,8786,72994
2021-03-27,Selangor,35,2883,2918,64243,11669,75912
2021-03-28,Selangor,0,283,283,64243,11952,76195
2021-03-29,Selangor,1300,3010,4310,65543,14962,80505
2021-03-30,Selangor,1813,3762,5575,67356,18724,86080
2021-03-31,Selangor,803,4795,5598,68159,23519,91678
2021-04-01,Selangor,1920,5102,7022,70079,28621,98700
2021-04-02,Selangor,1537,3647,5184,71616,32268,103884
2021-04-03,Selangor,14,2458,2472,71630,34726,106356
2021-04-04,Selangor,2,539,541,71632,35265,106897
2021-04-05,Selangor,1261,2776,4037,72893,38041,110934
2021-04-06,Selangor,767,3029,3796,73660,41070,114730
2021-04-07,Selangor,1224,3737,4961,74884,44807,119691
2021-04-08,Selangor,566,3718,4284,75450,48525,123975
2021-04-09,Selangor,1048,2889,3937,76498,51414,127912
2021-04-10,Selangor,339,751,1090,76837,52165,129002
2021-04-11,Selangor,640,484,1124,77477,52649,130126
2021-04-12,Selangor,2943,2203,5146,80420,54852,135272
2021-04-13,Selangor,3740,2844,6584,84160,57696,141856
2021-04-14,Selangor,3691,1994,5685,87851,59690,147541
2021-04-15,Selangor,3563,2006,5569,91414,61696,153110
2021-04-16,Selangor,3587,1463,5050,95001,63159,158160
2021-04-17,Selangor,1053,34,1087,96054,63193,159247
2021-04-18,Selangor,408,6,414,96462,63199,159661
2021-04-19,Selangor,2331,1140,3471,98793,64339,163132
2021-04-20,Selangor,3131,1655,4786,101924,65994,167918
2021-04-21,Selangor,874,1281,2155,102798,67275,170073
2021-04-22,Selangor,418,1834,2252,103216,69109,172325
2021-04-23,Selangor,394,1356,1750,103610,70465,174075
2021-04-24,Selangor,2,44,46,103612,70509,174121
2021-04-25,Selangor,0,0,0,103612,70509,174121
2021-04-26,Selangor,3918,1365,5283,107530,71874,179404
2021-04-27,Selangor,4838,598,5436,112368,72472,184840
2021-04-28,Selangor,4079,1133,5212,116447,73605,190052
2021-04-29,Selangor,65,0,65,116512,73605,190117
2021-04-30,Selangor,4234,1354,5588,120746,74959,195705
2021-05-01,Selangor,0,0,0,120746,74959,195705
2021-05-02,Selangor,0,0,0,120746,74959,195705
2021-05-03,Selangor,3886,3178,7064,124632,78137,202769
2021-05-04,Selangor,4205,4010,8215,128837,82147,210984
2021-05-05,Selangor,4386,3630,8016,133223,85777,219000
2021-05-06,Selangor,5569,3425,8994,138792,89202,227994
2021-05-07,Selangor,5577,3327,8904,144369,92529,236898
2021-05-08,Selangor,2359,695,3054,146728,93224,239952
2021-05-09,Selangor,1170,407,1577,147898,93631,241529
2021-05-10,Selangor,3282,2886,6168,151180,96517,247697
2021-05-11,Selangor,3154,2746,5900,154334,99263,253597
2021-05-12,Selangor,2719,531,3250,157053,99794,256847
2021-05-13,Selangor,35,0,35,157088,99794,256882
2021-05-14,Selangor,12,0,12,157100,99794,256894
2021-05-15,Selangor,975,0,975,158075,99794,257869
2021-05-16,Selangor,985,0,985,159060,99794,258854
2021-05-17,Selangor,4209,4184,8393,163269,103978,267247
2021-05-18,Selangor,5220,5000,10220,168489,108978,277467
2021-05-19,Selangor,6398,4217,10615,174887,113195,288082
2021-05-20,Selangor,8978,945,9923,183865,114140,298005
2021-05-21,Selangor,6687,3771,10458,190552,117911,308463
2021-05-22,Selangor,4109,6,4115,194661,117917,312578
2021-05-23,Selangor,1042,0,1042,195703,117917,313620
2021-05-24,Selangor,10565,4087,14652,206268,122004,328272
2021-05-25,Selangor,11276,4455,15731,217544,126459,344003
2021-05-26,Selangor,5255,153,5408,222799,126612,349411
2021-05-27,Selangor,10962,6810,17772,233761,133422,367183
2021-05-28,Selangor,10867,4638,15505,244628,138060,382688
2021-05-29,Selangor,9073,1254,10327,253701,139314,393015
2021-05-30,Selangor,4901,113,5014,258602,139427,398029
2021-05-31,Selangor,12636,2195,14831,271238,141622,412860
2021-06-01,Selangor,13976,2175,16151,285214,143797,429011
2021-06-02,Selangor,16817,1742,18559,302031,145539,447570
2021-06-03,Selangor,18408,97,18505,320439,145636,466075
2021-06-04,Selangor,16307,235,16542,336746,145871,482617
2021-06-05,Selangor,10368,99,10467,347114,145970,493084
2021-06-06,Selangor,5611,2,5613,352725,145972,498697
2021-06-07,Selangor,9356,1,9357,362081,145973,508054
2021-06-08,Selangor,17038,6242,23280,379119,152215,531334
2021-06-09,Selangor,19614,5456,25070,398733,157671,556404
2021-06-10,Selangor,19315,7845,27160,418048,165516,583564
2021-06-11,Selangor,20055,5339,25394,438103,170855,608958
2021-06-12,Selangor,13654,3447,17101,451757,174302,626059
2021-06-13,Selangor,10855,0,10855,462612,174302,636914
2021-06-14,Selangor,24526,6303,30829,487138,180605,667743
2021-06-15,Selangor,27994,6838,34832,515132,187443,702575
2021-06-16,Selangor,35549,1054,36603,550681,188497,739178
2021-06-17,Selangor,29660,6818,36478,580341,195315,775656
2021-06-18,Selangor,26801,6828,33629,607142,202143,809285
2021-06-19,Selangor,19368,4934,24302,626510,207077,833587
2021-06-20,Selangor,15739,954,16693,642249,208031,850280
2021-06-21,Selangor,26900,8355,35255,669149,216386,885535
2021-06-22,Selangor,31544,9707,41251,700693,226093,926786
2021-06-23,Selangor,30601,11569,42170,731294,237662,968956
2021-06-24,Selangor,32693,13598,46291,763987,251260,1015247
2021-06-25,Selangor,32782,11375,44157,796769,262635,1059404
2021-06-26,Selangor,29733,6095,35828,826502,268730,1095232
2021-06-27,Selangor,24616,1491,26107,851118,270221,1121339
2021-06-28,Selangor,29836,4877,34713,880954,275098,1156052
2021-06-29,Selangor,33694,12029,45723,914648,287127,1201775
2021-06-30,Selangor,39551,15923,55474,954199,303050,1257249
2021-07-01,Selangor,38833,15724,54557,993032,318774,1311806
