date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-02-24,Terengganu,0,0,0,0,0,0
2021-02-25,Terengganu,0,0,0,0,0,0
2021-02-26,Terengganu,11,0,11,11,0,11
2021-02-27,Terengganu,1,0,1,12,0,12
2021-02-28,Terengganu,473,0,473,485,0,485
2021-03-01,Terengganu,1,0,1,486,0,486
2021-03-02,Terengganu,2050,0,2050,2536,0,2536
2021-03-03,Terengganu,2263,1,2264,4799,1,4800
2021-03-04,Terengganu,4,0,4,4803,1,4804
2021-03-05,Terengganu,60,0,60,4863,1,4864
2021-03-06,Terengganu,103,0,103,4966,1,4967
2021-03-07,Terengganu,2343,0,2343,7309,1,7310
2021-03-08,Terengganu,2223,1,2224,9532,2,9534
2021-03-09,Terengganu,2181,0,2181,11713,2,11715
2021-03-10,Terengganu,1809,0,1809,13522,2,13524
2021-03-11,Terengganu,0,0,0,13522,2,13524
2021-03-12,Terengganu,0,0,0,13522,2,13524
2021-03-13,Terengganu,0,0,0,13522,2,13524
2021-03-14,Terengganu,1033,0,1033,14555,2,14557
2021-03-15,Terengganu,815,0,815,15370,2,15372
2021-03-16,Terengganu,775,0,775,16145,2,16147
2021-03-17,Terengganu,1,1,2,16146,3,16149
2021-03-18,Terengganu,0,0,0,16146,3,16149
2021-03-19,Terengganu,0,6,6,16146,9,16155
2021-03-20,Terengganu,0,0,0,16146,9,16155
2021-03-21,Terengganu,1653,426,2079,17799,435,18234
2021-03-22,Terengganu,1713,10,1723,19512,445,19957
2021-03-23,Terengganu,608,1964,2572,20120,2409,22529
2021-03-24,Terengganu,357,2195,2552,20477,4604,25081
2021-03-25,Terengganu,448,48,496,20925,4652,25577
2021-03-26,Terengganu,0,0,0,20925,4652,25577
2021-03-27,Terengganu,0,0,0,20925,4652,25577
2021-03-28,Terengganu,941,2192,3133,21866,6844,28710
2021-03-29,Terengganu,813,2174,2987,22679,9018,31697
2021-03-30,Terengganu,681,2243,2924,23360,11261,34621
2021-03-31,Terengganu,583,1823,2406,23943,13084,37027
2021-04-01,Terengganu,629,211,840,24572,13295,37867
2021-04-02,Terengganu,0,0,0,24572,13295,37867
2021-04-03,Terengganu,0,0,0,24572,13295,37867
2021-04-04,Terengganu,651,987,1638,25223,14282,39505
2021-04-05,Terengganu,661,763,1424,25884,15045,40929
2021-04-06,Terengganu,352,800,1152,26236,15845,42081
2021-04-07,Terengganu,248,6,254,26484,15851,42335
2021-04-08,Terengganu,129,12,141,26613,15863,42476
2021-04-09,Terengganu,0,0,0,26613,15863,42476
2021-04-10,Terengganu,0,0,0,26613,15863,42476
2021-04-11,Terengganu,955,1660,2615,27568,17523,45091
2021-04-12,Terengganu,989,1711,2700,28557,19234,47791
2021-04-13,Terengganu,890,575,1465,29447,19809,49256
2021-04-14,Terengganu,409,351,760,29856,20160,50016
2021-04-15,Terengganu,275,448,723,30131,20608,50739
2021-04-16,Terengganu,0,0,0,30131,20608,50739
2021-04-17,Terengganu,27,0,27,30158,20608,50766
2021-04-18,Terengganu,230,839,1069,30388,21447,51835
2021-04-19,Terengganu,673,697,1370,31061,22144,53205
2021-04-20,Terengganu,701,571,1272,31762,22715,54477
2021-04-21,Terengganu,516,834,1350,32278,23549,55827
2021-04-22,Terengganu,671,563,1234,32949,24112,57061
2021-04-23,Terengganu,0,0,0,32949,24112,57061
2021-04-24,Terengganu,0,0,0,32949,24112,57061
2021-04-25,Terengganu,744,673,1417,33693,24785,58478
2021-04-26,Terengganu,0,0,0,33693,24785,58478
2021-04-27,Terengganu,948,838,1786,34641,25623,60264
2021-04-28,Terengganu,1249,281,1530,35890,25904,61794
2021-04-29,Terengganu,0,0,0,35890,25904,61794
2021-04-30,Terengganu,0,0,0,35890,25904,61794
2021-05-01,Terengganu,0,0,0,35890,25904,61794
