date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-02-24,W.P. Kuala Lumpur,41,0,41,41,0,41
2021-02-25,W.P. Kuala Lumpur,553,0,553,594,0,594
2021-02-26,W.P. Kuala Lumpur,329,0,329,923,0,923
2021-02-27,W.P. Kuala Lumpur,233,0,233,1156,0,1156
2021-02-28,W.P. Kuala Lumpur,153,0,153,1309,0,1309
2021-03-01,W.P. Kuala Lumpur,2355,0,2355,3664,0,3664
2021-03-02,W.P. Kuala Lumpur,2341,0,2341,6005,0,6005
2021-03-03,W.P. Kuala Lumpur,2580,0,2580,8585,0,8585
2021-03-04,W.P. Kuala Lumpur,2434,2,2436,11019,2,11021
2021-03-05,W.P. Kuala Lumpur,252,0,252,11271,2,11273
2021-03-06,W.P. Kuala Lumpur,0,0,0,11271,2,11273
2021-03-07,W.P. Kuala Lumpur,0,0,0,11271,2,11273
2021-03-08,W.P. Kuala Lumpur,2421,0,2421,13692,2,13694
2021-03-09,W.P. Kuala Lumpur,3211,0,3211,16903,2,16905
2021-03-10,W.P. Kuala Lumpur,3729,0,3729,20632,2,20634
2021-03-11,W.P. Kuala Lumpur,4681,0,4681,25313,2,25315
2021-03-12,W.P. Kuala Lumpur,3062,0,3062,28375,2,28377
2021-03-13,W.P. Kuala Lumpur,0,0,0,28375,2,28377
2021-03-14,W.P. Kuala Lumpur,0,0,0,28375,2,28377
2021-03-15,W.P. Kuala Lumpur,1723,0,1723,30098,2,30100
2021-03-16,W.P. Kuala Lumpur,1796,0,1796,31894,2,31896
2021-03-17,W.P. Kuala Lumpur,1762,6,1768,33656,8,33664
2021-03-18,W.P. Kuala Lumpur,1283,282,1565,34939,290,35229
2021-03-19,W.P. Kuala Lumpur,972,292,1264,35911,582,36493
2021-03-20,W.P. Kuala Lumpur,0,0,0,35911,582,36493
2021-03-21,W.P. Kuala Lumpur,0,1,1,35911,583,36494
2021-03-22,W.P. Kuala Lumpur,865,2171,3036,36776,2754,39530
2021-03-23,W.P. Kuala Lumpur,638,2176,2814,37414,4930,42344
2021-03-24,W.P. Kuala Lumpur,363,2878,3241,37777,7808,45585
2021-03-25,W.P. Kuala Lumpur,1028,2894,3922,38805,10702,49507
2021-03-26,W.P. Kuala Lumpur,1238,257,1495,40043,10959,51002
2021-03-27,W.P. Kuala Lumpur,0,0,0,40043,10959,51002
2021-03-28,W.P. Kuala Lumpur,0,0,0,40043,10959,51002
2021-03-29,W.P. Kuala Lumpur,1770,2114,3884,41813,13073,54886
2021-03-30,W.P. Kuala Lumpur,2363,2481,4844,44176,15554,59730
2021-03-31,W.P. Kuala Lumpur,389,3709,4098,44565,19263,63828
2021-04-01,W.P. Kuala Lumpur,203,4674,4877,44768,23937,68705
2021-04-02,W.P. Kuala Lumpur,223,2738,2961,44991,26675,71666
2021-04-03,W.P. Kuala Lumpur,0,2,2,44991,26677,71668
2021-04-04,W.P. Kuala Lumpur,0,0,0,44991,26677,71668
2021-04-05,W.P. Kuala Lumpur,1253,1367,2620,46244,28044,74288
2021-04-06,W.P. Kuala Lumpur,1071,1337,2408,47315,29381,76696
2021-04-07,W.P. Kuala Lumpur,1863,1080,2943,49178,30461,79639
2021-04-08,W.P. Kuala Lumpur,1986,1720,3706,51164,32181,83345
2021-04-09,W.P. Kuala Lumpur,1010,1465,2475,52174,33646,85820
2021-04-10,W.P. Kuala Lumpur,0,0,0,52174,33646,85820
2021-04-11,W.P. Kuala Lumpur,0,0,0,52174,33646,85820
2021-04-12,W.P. Kuala Lumpur,5042,1080,6122,57216,34726,91942
2021-04-13,W.P. Kuala Lumpur,5083,859,5942,62299,35585,97884
2021-04-14,W.P. Kuala Lumpur,4947,1106,6053,67246,36691,103937
2021-04-15,W.P. Kuala Lumpur,5595,1314,6909,72841,38005,110846
2021-04-16,W.P. Kuala Lumpur,4820,680,5500,77661,38685,116346
2021-04-17,W.P. Kuala Lumpur,1,0,1,77662,38685,116347
2021-04-18,W.P. Kuala Lumpur,0,0,0,77662,38685,116347
2021-04-19,W.P. Kuala Lumpur,2891,2039,4930,80553,40724,121277
2021-04-20,W.P. Kuala Lumpur,1928,1957,3885,82481,42681,125162
2021-04-21,W.P. Kuala Lumpur,2021,1095,3116,84502,43776,128278
2021-04-22,W.P. Kuala Lumpur,2321,131,2452,86823,43907,130730
2021-04-23,W.P. Kuala Lumpur,780,472,1252,87603,44379,131982
2021-04-24,W.P. Kuala Lumpur,6,0,6,87609,44379,131988
2021-04-25,W.P. Kuala Lumpur,0,0,0,87609,44379,131988
2021-04-26,W.P. Kuala Lumpur,135,1325,1460,87744,45704,133448
2021-04-27,W.P. Kuala Lumpur,428,1477,1905,88172,47181,135353
2021-04-28,W.P. Kuala Lumpur,1487,2096,3583,89659,49277,138936
2021-04-29,W.P. Kuala Lumpur,4,0,4,89663,49277,138940
2021-04-30,W.P. Kuala Lumpur,947,2303,3250,90610,51580,142190
2021-05-01,W.P. Kuala Lumpur,1,35,36,90611,51615,142226
2021-05-02,W.P. Kuala Lumpur,0,0,0,90611,51615,142226
2021-05-03,W.P. Kuala Lumpur,1154,5107,6261,91765,56722,148487
2021-05-04,W.P. Kuala Lumpur,1350,5046,6396,93115,61768,154883
2021-05-05,W.P. Kuala Lumpur,4857,5130,9987,97972,66898,164870
2021-05-06,W.P. Kuala Lumpur,3825,5550,9375,101797,72448,174245
2021-05-07,W.P. Kuala Lumpur,4296,4128,8424,106093,76576,182669
2021-05-08,W.P. Kuala Lumpur,2524,1,2525,108617,76577,185194
2021-05-09,W.P. Kuala Lumpur,2527,0,2527,111144,76577,187721
2021-05-10,W.P. Kuala Lumpur,4681,2800,7481,115825,79377,195202
2021-05-11,W.P. Kuala Lumpur,4764,1231,5995,120589,80608,201197
2021-05-12,W.P. Kuala Lumpur,3548,49,3597,124137,80657,204794
2021-05-13,W.P. Kuala Lumpur,5,0,5,124142,80657,204799
2021-05-14,W.P. Kuala Lumpur,1,5,6,124143,80662,204805
2021-05-15,W.P. Kuala Lumpur,8744,0,8744,132887,80662,213549
2021-05-16,W.P. Kuala Lumpur,8968,0,8968,141855,80662,222517
2021-05-17,W.P. Kuala Lumpur,12735,347,13082,154590,81009,235599
2021-05-18,W.P. Kuala Lumpur,12372,379,12751,166962,81388,248350
2021-05-19,W.P. Kuala Lumpur,14053,1989,16042,181015,83377,264392
2021-05-20,W.P. Kuala Lumpur,14679,2886,17565,195694,86263,281957
