date,state,dose1_daily,dose2_daily,total_daily,dose1_cumul,dose2_cumul,total_cumul
2021-02-24,W.P. Labuan,0,0,0,0,0,0
2021-02-25,W.P. Labuan,3,0,3,3,0,3
2021-02-26,W.P. Labuan,0,0,0,3,0,3
2021-02-27,W.P. Labuan,136,0,136,139,0,139
2021-02-28,W.P. Labuan,363,0,363,502,0,502
2021-03-01,W.P. Labuan,450,0,450,952,0,952
2021-03-02,W.P. Labuan,391,1,392,1343,1,1344
2021-03-03,W.P. Labuan,292,2,294,1635,3,1638
2021-03-04,W.P. Labuan,209,0,209,1844,3,1847
2021-03-05,W.P. Labuan,163,0,163,2007,3,2010
2021-03-06,W.P. Labuan,83,0,83,2090,3,2093
2021-03-07,W.P. Labuan,100,0,100,2190,3,2193
2021-03-08,W.P. Labuan,31,0,31,2221,3,2224
2021-03-09,W.P. Labuan,26,0,26,2247,3,2250
2021-03-10,W.P. Labuan,126,0,126,2373,3,2376
2021-03-11,W.P. Labuan,1,0,1,2374,3,2377
2021-03-12,W.P. Labuan,6,0,6,2380,3,2383
2021-03-13,W.P. Labuan,0,0,0,2380,3,2383
2021-03-14,W.P. Labuan,0,0,0,2380,3,2383
2021-03-15,W.P. Labuan,0,0,0,2380,3,2383
2021-03-16,W.P. Labuan,0,0,0,2380,3,2383
2021-03-17,W.P. Labuan,0,0,0,2380,3,2383
2021-03-18,W.P. Labuan,0,4,4,2380,7,2387
2021-03-19,W.P. Labuan,0,0,0,2380,7,2387
2021-03-20,W.P. Labuan,1,126,127,2381,133,2514
2021-03-21,W.P. Labuan,0,344,344,2381,477,2858
2021-03-22,W.P. Labuan,0,441,441,2381,918,3299
2021-03-23,W.P. Labuan,1,369,370,2382,1287,3669
2021-03-24,W.P. Labuan,1,290,291,2383,1577,3960
2021-03-25,W.P. Labuan,1,193,194,2384,1770,4154
2021-03-26,W.P. Labuan,4,166,170,2388,1936,4324
2021-03-27,W.P. Labuan,0,85,85,2388,2021,4409
2021-03-28,W.P. Labuan,0,83,83,2388,2104,4492
2021-03-29,W.P. Labuan,0,30,30,2388,2134,4522
2021-03-30,W.P. Labuan,0,24,24,2388,2158,4546
2021-03-31,W.P. Labuan,0,131,131,2388,2289,4677
2021-04-01,W.P. Labuan,109,0,109,2497,2289,4786
2021-04-02,W.P. Labuan,108,31,139,2605,2320,4925
2021-04-03,W.P. Labuan,116,1,117,2721,2321,5042
2021-04-04,W.P. Labuan,0,0,0,2721,2321,5042
2021-04-05,W.P. Labuan,82,0,82,2803,2321,5124
2021-04-06,W.P. Labuan,107,0,107,2910,2321,5231
2021-04-07,W.P. Labuan,108,0,108,3018,2321,5339
2021-04-08,W.P. Labuan,158,0,158,3176,2321,5497
2021-04-09,W.P. Labuan,155,0,155,3331,2321,5652
2021-04-10,W.P. Labuan,0,0,0,3331,2321,5652
2021-04-11,W.P. Labuan,0,0,0,3331,2321,5652
2021-04-12,W.P. Labuan,0,0,0,3331,2321,5652
2021-04-13,W.P. Labuan,0,0,0,3331,2321,5652
2021-04-14,W.P. Labuan,0,0,0,3331,2321,5652
2021-04-15,W.P. Labuan,0,0,0,3331,2321,5652
2021-04-16,W.P. Labuan,0,0,0,3331,2321,5652
2021-04-17,W.P. Labuan,0,0,0,3331,2321,5652
2021-04-18,W.P. Labuan,0,0,0,3331,2321,5652
2021-04-19,W.P. Labuan,375,0,375,3706,2321,6027
2021-04-20,W.P. Labuan,490,0,490,4196,2321,6517
2021-04-21,W.P. Labuan,529,0,529,4725,2321,7046
2021-04-22,W.P. Labuan,592,108,700,5317,2429,7746
2021-04-23,W.P. Labuan,740,108,848,6057,2537,8594
2021-04-24,W.P. Labuan,739,114,853,6796,2651,9447
2021-04-25,W.P. Labuan,0,0,0,6796,2651,9447
2021-04-26,W.P. Labuan,557,78,635,7353,2729,10082
2021-04-27,W.P. Labuan,381,103,484,7734,2832,10566
2021-04-28,W.P. Labuan,541,101,642,8275,2933,11208
2021-04-29,W.P. Labuan,218,154,372,8493,3087,11580
2021-04-30,W.P. Labuan,658,148,806,9151,3235,12386
2021-05-01,W.P. Labuan,0,0,0,9151,3235,12386
2021-05-02,W.P. Labuan,0,0,0,9151,3235,12386
